ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_NAME,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,TEMPORARY,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION,MAX_INDEX_LENGTH
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,132451200,<blank>,<blank>,Fixed,<blank>,INNODB_CMP_PER_INDEX_RESET,SYSTEM VIEW,600,max_rows=223696,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133667496,<blank>,<blank>,Fixed,<blank>,INNODB_SYS_FOREIGN_COLS,SYSTEM VIEW,972,max_rows=138084,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133963400,<blank>,<blank>,Fixed,<blank>,INNODB_FT_INDEX_CACHE,SYSTEM VIEW,1054,max_rows=127341,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,130167900,<blank>,<blank>,Fixed,<blank>,INNODB_BUFFER_POOL_STATS,SYSTEM VIEW,225,max_rows=596523,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,75497472,<blank>,<blank>,Fixed,<blank>,INNODB_FT_BEING_DELETED,SYSTEM VIEW,9,max_rows=14913080,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133607520,<blank>,<blank>,Fixed,<blank>,INNODB_SYS_FOREIGN,SYSTEM VIEW,1752,max_rows=76608,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,121634816,<blank>,<blank>,Fixed,<blank>,INNODB_CMPMEM_RESET,SYSTEM VIEW,29,max_rows=4628197,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,117440512,<blank>,<blank>,Fixed,<blank>,INNODB_FT_DEFAULT_STOPWORD,SYSTEM VIEW,56,max_rows=2396745,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133880460,<blank>,<blank>,Fixed,<blank>,INNODB_SYS_TABLES,SYSTEM VIEW,1995,max_rows=67277,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133019292,<blank>,<blank>,Fixed,<blank>,INNODB_SYS_COLUMNS,SYSTEM VIEW,222,max_rows=604584,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133642656,<blank>,<blank>,Fixed,<blank>,INNODB_FT_CONFIG,SYSTEM VIEW,1163,max_rows=115406,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133980966,<blank>,<blank>,Fixed,<blank>,USER_STATISTICS,SYSTEM VIEW,567,max_rows=236715,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133699944,<blank>,<blank>,Fixed,<blank>,INNODB_SYS_TABLESPACES,SYSTEM VIEW,2072,max_rows=64776,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,95070885,<blank>,<blank>,Fixed,<blank>,INNODB_SYS_VIRTUAL,SYSTEM VIEW,17,max_rows=7895160,0,def,information_schema,utf8_general_ci
0,2021-10-28 06:56:20,0,<blank>,0,<blank>,Y,11,<blank>,MEMORY,133060520,<blank>,<blank>,Fixed,<blank>,INNODB_SYS_INDEXES,SYSTEM VIEW,230,max_rows=583555,0,def,information_schema,utf8_general_ci
