CHECKSUM,DATA_FREE,NODEGROUP,CHECK_TIME,TABLE_NAME,TABLE_ROWS,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,AVG_ROW_LENGTH,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134173026,<blank>,<blank>,<blank>,<blank>,30994,<blank>,<blank>,<blank>,<blank>,INNODB_LOCKS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133963400,<blank>,<blank>,<blank>,<blank>,1054,<blank>,<blank>,<blank>,<blank>,INNODB_FT_INDEX_TABLE,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,121634816,<blank>,<blank>,<blank>,<blank>,29,<blank>,<blank>,<blank>,<blank>,INNODB_CMPMEM,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,113246208,<blank>,<blank>,<blank>,<blank>,27,<blank>,<blank>,<blank>,<blank>,THREAD_POOL_GROUPS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,132451200,<blank>,<blank>,<blank>,<blank>,600,<blank>,<blank>,<blank>,<blank>,INNODB_CMP_PER_INDEX_RESET,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133667496,<blank>,<blank>,<blank>,<blank>,972,<blank>,<blank>,<blank>,<blank>,INNODB_SYS_FOREIGN_COLS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133963400,<blank>,<blank>,<blank>,<blank>,1054,<blank>,<blank>,<blank>,<blank>,INNODB_FT_INDEX_CACHE,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,130167900,<blank>,<blank>,<blank>,<blank>,225,<blank>,<blank>,<blank>,<blank>,INNODB_BUFFER_POOL_STATS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,75497472,<blank>,<blank>,<blank>,<blank>,9,<blank>,<blank>,<blank>,<blank>,INNODB_FT_BEING_DELETED,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133607520,<blank>,<blank>,<blank>,<blank>,1752,<blank>,<blank>,<blank>,<blank>,INNODB_SYS_FOREIGN,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,121634816,<blank>,<blank>,<blank>,<blank>,29,<blank>,<blank>,<blank>,<blank>,INNODB_CMPMEM_RESET,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,117440512,<blank>,<blank>,<blank>,<blank>,56,<blank>,<blank>,<blank>,<blank>,INNODB_FT_DEFAULT_STOPWORD,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
