VARIABLE_NAME,VARIABLE_VALUE
KEY_WRITE_REQUESTS,17721501
KEY_WRITES,13977702
LAST_QUERY_COST,0.000000
MASTER_GTID_WAIT_COUNT,0
MASTER_GTID_WAIT_TIME,0
MASTER_GTID_WAIT_TIMEOUTS,0
MAX_STATEMENT_TIME_EXCEEDED,0
MAX_USED_CONNECTIONS,170
MEMORY_USED,4384608
MEMORY_USED_INITIAL,590706272
NOT_FLUSHED_DELAYED_ROWS,0
OPEN_FILES,15208
OPEN_STREAMS,4
OPEN_TABLE_DEFINITIONS,130449
OPEN_TABLES,49485
OPENED_FILES,474007630
OPENED_PLUGIN_LIBRARIES,29
OPENED_TABLE_DEFINITIONS,0
OPENED_TABLES,0
OPENED_VIEWS,0
PERFORMANCE_SCHEMA_ACCOUNTS_LOST,0
PERFORMANCE_SCHEMA_COND_CLASSES_LOST,0
PERFORMANCE_SCHEMA_COND_INSTANCES_LOST,0
PERFORMANCE_SCHEMA_DIGEST_LOST,0
PERFORMANCE_SCHEMA_FILE_CLASSES_LOST,0
PERFORMANCE_SCHEMA_FILE_HANDLES_LOST,0
PERFORMANCE_SCHEMA_FILE_INSTANCES_LOST,0
PERFORMANCE_SCHEMA_HOSTS_LOST,0
PERFORMANCE_SCHEMA_INDEX_STAT_LOST,0
PERFORMANCE_SCHEMA_LOCKER_LOST,0
PERFORMANCE_SCHEMA_MEMORY_CLASSES_LOST,0
PERFORMANCE_SCHEMA_METADATA_LOCK_LOST,0
PERFORMANCE_SCHEMA_MUTEX_CLASSES_LOST,0
PERFORMANCE_SCHEMA_MUTEX_INSTANCES_LOST,0
PERFORMANCE_SCHEMA_NESTED_STATEMENT_LOST,0
PERFORMANCE_SCHEMA_PREPARED_STATEMENTS_LOST,0
PERFORMANCE_SCHEMA_PROGRAM_LOST,0
PERFORMANCE_SCHEMA_RWLOCK_CLASSES_LOST,0
PERFORMANCE_SCHEMA_RWLOCK_INSTANCES_LOST,0
PERFORMANCE_SCHEMA_SESSION_CONNECT_ATTRS_LOST,0
PERFORMANCE_SCHEMA_SOCKET_CLASSES_LOST,0
PERFORMANCE_SCHEMA_SOCKET_INSTANCES_LOST,0
PERFORMANCE_SCHEMA_STAGE_CLASSES_LOST,0
PERFORMANCE_SCHEMA_STATEMENT_CLASSES_LOST,0
PERFORMANCE_SCHEMA_TABLE_HANDLES_LOST,0
PERFORMANCE_SCHEMA_TABLE_INSTANCES_LOST,0
PERFORMANCE_SCHEMA_TABLE_LOCK_STAT_LOST,0
PERFORMANCE_SCHEMA_THREAD_CLASSES_LOST,0
PERFORMANCE_SCHEMA_THREAD_INSTANCES_LOST,0
PERFORMANCE_SCHEMA_USERS_LOST,0
PREPARED_STMT_COUNT,1
QCACHE_FREE_BLOCKS,0
QCACHE_FREE_MEMORY,0
QCACHE_HITS,0
QCACHE_INSERTS,0
QCACHE_LOWMEM_PRUNES,0
QCACHE_NOT_CACHED,0
QCACHE_QUERIES_IN_CACHE,0
QCACHE_TOTAL_BLOCKS,0
QUERIES,2857200300
QUESTIONS,5
ROWS_READ,0
ROWS_SENT,0
ROWS_TMP_READ,0
RPL_SEMI_SYNC_MASTER_CLIENTS,0
RPL_SEMI_SYNC_MASTER_GET_ACK,0
RPL_SEMI_SYNC_MASTER_NET_AVG_WAIT_TIME,0
RPL_SEMI_SYNC_MASTER_NET_WAIT_TIME,0
RPL_SEMI_SYNC_MASTER_NET_WAITS,0
RPL_SEMI_SYNC_MASTER_NO_TIMES,0
