id,faculty_id,type,title,year,nameofpublisher
754,150,Published,1. Effect of Nano Lubricant on the Performance of Vapour Compression Refrigeration System: A Review,2016,Journal of emerging Technologies and Innovative Research
755,150,Published,2.An experimental investigation of VCRS by addition of nano-SiO2 as lubricant additives ,2016,Journal of emerging Technologies and Innovative Research
756,150,Published,3.VCR system using r-600a/poe oil/mineral oil/nano-sio2 as working fluid: an experimental investigation,2016,"International Journal of Innovative Science, Engineering & Technology"
757,150,Published,4.Strategies for buyer supplier relationship development in indian manufacturing contex,2019,Journal of emerging Technologies and Innovative Research
758,150,Published,5.Statistical techniques application for process control: a case stud5,2019,Journal of emerging Technologies and Innovative Research
759,151,Published,1. Performance evealuation of concentric tube helical coil heat exchanger,2016,"International Journal of Engineering, Technology, Science and Research"
760,151,Published,2. Parametric evalution of tube in tube coil heat exchanger,2019,Journal of Emerging Technologies and Innovative Research
761,152,Published,1.Recent Developments in Aerospace Materials: Composite Materials.,2017,"International Journal of Engineering, Technology, Science and Research"
762,152,Published,2.Improve Productivity of Automotive Valve and productivity of semi-automatic valve bending machine,2019,Journal of Emerging Technologies and Innovative Research
763,153,Published,1. Performance Analysis of Double Pipe Heat Exchanger with Annular Twisted Tape Insert,2019,Journal of emerging Technologies and Innovative Research
764,153,Presented,2. Review paper on Phase change material used in LTES,2019,Journal of emerging Technologies and Innovative Research
765,154,Published,1. Performance Testing of Torque limiter for overload protection,2015,American Journal of Engineering and Research
766,154,<blank>,2. Recent Developments in Aerospace Materials: Composite Materials.,2017,"International Journal of Engineering, Technology, Science and Research"
767,155,Published,1. Review paper on Multi Criterion Decision Making System,2015,Journal of Emerging Technologies and Innovative Research
768,156,Published,1. Design & Analysis Of Shut Off Valve,2015,International Engineering & Research Journal
769,156,Published,2. Finite Element Analysis of Emergency Shut Off Valve,2015,International Journal on Recent Technologies in Mechanical & Electrical Engineering
770,156,Published,3. Review paper on Muffler Design using Hemp Fibre,2019,Journal of Emerging Technologies and Innovative Research
771,157,Published,1. Review paper on Multi Criterion Decision Making System,2017,Journal of Emerging Technologies and Innovative Research
772,158,Published,1. Experimental Investigation and Performance Analysis of Heat Transfer Enhancement by using Perforations in Rectangular Ribs in a 3-D Channel,2010,International Journal of Applied Engineering and Research
773,158,Published,2. Review Paper on Co-generation of Energy from waste Heat by Organic Ranking Cycle,2012,International Journal of Engineering Research and Technology
774,158,Published,"3. Review Paper on Performance Improvisation of Chilling Unit at Radhekrishna Products, Wardha",2012,International Journal of Applied Engineering and Research
775,158,Published,4. Review Paper on Effect of Perforated Fins on Heat Transfer Enhancement,2012,International Journal of Engineering Science &amp
776,158,Published,5. Implementation of Reliability Centered Maintenance In Air Compressor Unit,2013,International Journal of Engineering Science &amp
777,158,Published,6. A Review Of Heat Transfer Characteristics In Rib Roughened Surfaces In Rectangular Channel,2014,Indian Streams Research Journal 
778,158,Published,7. Study Of Heat Transfer Enhancement In Rectangular Channel With Different Inlet Conditions,2015,Indian Streams Research Journal 
